
itref_sum	314808
dyn_sum	323709

2_alignments.dyn/5_vcf/00000.vcf.gz	24402
2_alignments.dyn/5_vcf/00001.vcf.gz	49656
2_alignments.dyn/5_vcf/00002.vcf.gz	53266
2_alignments.dyn/5_vcf/00003.vcf.gz	47683
2_alignments.dyn/5_vcf/00004.vcf.gz	38620
2_alignments.dyn/5_vcf/00005.vcf.gz	30086
2_alignments.dyn/5_vcf/00006.vcf.gz	22569
2_alignments.dyn/5_vcf/00007.vcf.gz	16199
2_alignments.dyn/5_vcf/00008.vcf.gz	11889
2_alignments.dyn/5_vcf/00009.vcf.gz	8277
2_alignments.dyn/5_vcf/00010.vcf.gz	6039
2_alignments.dyn/5_vcf/00011.vcf.gz	4279
2_alignments.dyn/5_vcf/00012.vcf.gz	3210
2_alignments.dyn/5_vcf/00013.vcf.gz	2155
2_alignments.dyn/5_vcf/00014.vcf.gz	1614
2_alignments.dyn/5_vcf/00015.vcf.gz	1186
2_alignments.dyn/5_vcf/00016.vcf.gz	887
2_alignments.dyn/5_vcf/00017.vcf.gz	706
2_alignments.dyn/5_vcf/00018.vcf.gz	541
2_alignments.dyn/5_vcf/00019.vcf.gz	445

2_alignments.itref/5_vcf/00000.vcf.gz	310611
2_alignments.itref/5_vcf/00001.vcf.gz	2191
2_alignments.itref/5_vcf/00002.vcf.gz	1035
2_alignments.itref/5_vcf/00003.vcf.gz	582
2_alignments.itref/5_vcf/00004.vcf.gz	389

